2025-05-11 09:14:53,700 - src.api_client.save_to_db - INFO - Veritabanýna kayýt baþlýyor: 3522 kamp alaný
2025-05-11 09:14:54,458 - src.api_client.save_to_db - INFO - Ýlerleme: 100/3522 (100 baþarýlý, 0 hata)
2025-05-11 09:14:55,139 - src.api_client.save_to_db - INFO - Ýlerleme: 200/3522 (200 baþarýlý, 0 hata)
2025-05-11 09:14:55,715 - src.api_client.save_to_db - INFO - Ýlerleme: 300/3522 (300 baþarýlý, 0 hata)
2025-05-11 09:14:56,383 - src.api_client.save_to_db - INFO - Ýlerleme: 400/3522 (400 baþarýlý, 0 hata)
2025-05-11 09:14:57,063 - src.api_client.save_to_db - INFO - Ýlerleme: 500/3522 (500 baþarýlý, 0 hata)
2025-05-11 09:14:57,730 - src.api_client.save_to_db - INFO - Ýlerleme: 600/3522 (600 baþarýlý, 0 hata)
2025-05-11 09:14:58,398 - src.api_client.save_to_db - INFO - Ýlerleme: 700/3522 (700 baþarýlý, 0 hata)
2025-05-11 09:14:59,096 - src.api_client.save_to_db - INFO - Ýlerleme: 800/3522 (800 baþarýlý, 0 hata)
2025-05-11 09:14:59,764 - src.api_client.save_to_db - INFO - Ýlerleme: 900/3522 (900 baþarýlý, 0 hata)
2025-05-11 09:15:00,418 - src.api_client.save_to_db - INFO - Ýlerleme: 1000/3522 (1000 baþarýlý, 0 hata)
2025-05-11 09:15:01,014 - src.api_client.save_to_db - INFO - Ýlerleme: 1100/3522 (1100 baþarýlý, 0 hata)
2025-05-11 09:15:01,632 - src.api_client.save_to_db - INFO - Ýlerleme: 1200/3522 (1200 baþarýlý, 0 hata)
2025-05-11 09:15:02,222 - src.api_client.save_to_db - INFO - Ýlerleme: 1300/3522 (1300 baþarýlý, 0 hata)
2025-05-11 09:15:02,844 - src.api_client.save_to_db - INFO - Ýlerleme: 1400/3522 (1400 baþarýlý, 0 hata)
2025-05-11 09:15:03,405 - src.api_client.save_to_db - INFO - Ýlerleme: 1500/3522 (1500 baþarýlý, 0 hata)
2025-05-11 09:15:04,056 - src.api_client.save_to_db - INFO - Ýlerleme: 1600/3522 (1600 baþarýlý, 0 hata)
2025-05-11 09:15:04,753 - src.api_client.save_to_db - INFO - Ýlerleme: 1700/3522 (1700 baþarýlý, 0 hata)
